

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
         19   FBCG    -0.4403        -20.5287      0.0214
         19   QQQM    -0.3409        -20.5861      0.0166
         19   ARKK    -0.7488        -21.3455      0.0351
         19    SKX    -0.5611        -21.3673      0.0263
         19    IWP    -0.4170        -21.4758      0.0194
         19   SCHG    -0.3829        -21.6958      0.0176
         19    IWF    -0.3831        -21.8502      0.0175
         19    VUG    -0.3943        -22.5462      0.0175
         19   GOOG    -0.4488        -23.1996      0.0193
         19   VONG    -0.3986        -23.3766      0.0171
         19  GOOGL    -0.4726        -24.2959      0.0194
         19   AMZN    -0.4699        -25.4769      0.0184
         20     NU     0.4623         10.0900      0.0458
         20    SFM    -0.3238         -9.9162      0.0327
         20   AKAM    -0.4483        -11.6586      0.0385
         20    DBX    -0.3953        -12.9636      0.0305
         20    XYZ    -0.9565        -22.7260      0.0421
         21    BUD     1.6431        108.5601      0.0151
         21    MRK     0.2059         15.0816      0.0136
         21   AXON     0.2160          4.3640      0.0495
         21   INTU     0.1094          3.7609      0.0291
         21   WDAY    -0.3132        -13.7836      0.0227
         22      G     0.2610         16.3595      0.0160
